teacherextuserid,classcode,classid,invitationid,tch
t145_1594828149213_17,vZpU-yc2Q,18ac8826-c6b2-11ea-89f8-0242ac110002,2bac6181-43d8-4d37-afc0-c2279c50dc88,t245_20200715-210618_17
t145_1594828153229_19,ujxp-Hw2Q,38cd53b9-c6b2-11ea-af23-0242ac110002,d140c7c1-ee40-4b1c-881b-3cc5163fb957,t245_20200715-210618_19
t145_1594828152370_18,zWTG-X6HK,26b55e82-c6b2-11ea-96b3-0242ac110002,1a22c720-5793-4e9a-b920-452df9e9f5bf,t245_20200715-210618_18
t145_1594828153504_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,a825c67f-2a60-40d5-83ce-ccb2807064ac,t245_20200715-210618_25
t145_1594828157416_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,ef778cf0-4142-4a97-9ab0-26828c34c56a,t245_20200715-210618_23
t145_1594828155007_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,962f18ff-d614-4515-937f-2a75cddc1655,t245_20200715-210618_22
t145_1594828154652_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,9b14bfb9-7775-4fbc-8c8d-5a813b0d8ce4,t245_20200715-210618_21
t145_1594828158297_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,df7b5d25-3e93-4a24-bdee-1b03d1a6c0c5,t245_20200715-210618_24
t145_1594828159752_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,c62b03a2-f01d-42c6-8680-94b251b68443,t245_20200715-210618_20
t145_1594828168025_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,ff12ef17-4c82-4107-8869-6c764b18dc80,t245_20200715-210618_25
t145_1594828166867_19,ujxp-Hw2Q,38cd53b9-c6b2-11ea-af23-0242ac110002,4e9a0878-5a98-4aad-a471-0b47f5cdd6ea,t245_20200715-210618_19
t145_1594828170722_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,783519f6-bba9-4eb9-a2c7-874ea4e56352,t245_20200715-210618_21
t145_1594828167504_18,zWTG-X6HK,26b55e82-c6b2-11ea-96b3-0242ac110002,fde0f230-ab34-4e42-8d4a-5a6e58c807ae,t245_20200715-210618_18
t145_1594828167325_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,2d49afe6-b82c-457f-b48d-9f5b83816dff,t245_20200715-210618_26
t145_1594828168040_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,dc012678-1dee-4d6d-9659-73ab729056df,t245_20200715-210618_23
t145_1594828169908_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,bb770dcf-9c8f-4e1d-a3cd-bb7a58a3d3c0,t245_20200715-210618_22
t145_1594828172996_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,ffbe36cb-2064-4695-8dae-9cef91c44fb6,t245_20200715-210618_20
t145_1594828172137_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,b47cfbaf-2e46-4f12-b93b-eac7037a9ead,t245_20200715-210618_24
t145_1594828179289_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,20acefe4-778a-4d17-9955-8c4359aa3076,t245_20200715-210618_25
t145_1594828181869_19,ujxp-Hw2Q,38cd53b9-c6b2-11ea-af23-0242ac110002,242e0ca3-35c2-48c7-a37b-8bf895c8e1d0,t245_20200715-210618_19
t145_1594828186036_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,016465e7-d10d-4fca-98b0-2953fb3745e9,t245_20200715-210618_22
t145_1594828184790_18,zWTG-X6HK,26b55e82-c6b2-11ea-96b3-0242ac110002,f738681b-95c7-46e4-9c65-6a2a8030ee0d,t245_20200715-210618_18
t145_1594828185522_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,7c9a0238-49cf-4546-891a-a4dd5d8c4a34,t245_20200715-210618_26
t145_1594828188149_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,ea940a34-8855-4136-a8f4-bc1b107412fa,t245_20200715-210618_20
t145_1594828183751_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,49a09e1b-1c10-4fc0-8d33-3004a7ad2c44,t245_20200715-210618_21
t145_1594828190573_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,bb3ab581-cbde-478c-a425-97d98dbb2603,t245_20200715-210618_25
t145_1594828186031_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,892ec62c-9748-4431-8086-674886860347,t245_20200715-210618_23
t145_1594828191919_19,ujxp-Hw2Q,38cd53b9-c6b2-11ea-af23-0242ac110002,62d5be12-a8ce-464f-85df-012fbeea368b,t245_20200715-210618_19
t145_1594828188260_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,95e751d3-d38c-40ad-840b-da3e9c1fff5e,t245_20200715-210618_24
t145_1594828197310_18,zWTG-X6HK,26b55e82-c6b2-11ea-96b3-0242ac110002,73c444c5-4c57-45e0-aacb-4677263ff8c5,t245_20200715-210618_18
t145_1594828199794_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,5e46e314-f8b5-49cc-b02c-8fd11b273644,t245_20200715-210618_27
t145_1594828201614_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,be25e048-8a71-4161-9f9f-52407889f33c,t245_20200715-210618_25
t145_1594828197058_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,727e2fbc-f730-42f0-a26f-d6fea340dc59,t245_20200715-210618_22
t145_1594828204048_19,ujxp-Hw2Q,38cd53b9-c6b2-11ea-af23-0242ac110002,c9d25823-ae5d-4b27-966d-0bc58df6c4da,t245_20200715-210618_19
t145_1594828198190_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,a7d63e90-d3a2-4a45-98dd-4918d84126cf,t245_20200715-210618_26
t145_1594828200067_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,bc79d900-2f98-47ce-8b93-e852aab200d6,t245_20200715-210618_20
t145_1594828200700_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,6f9c52e4-a921-4aa7-bb21-80cdf9a46df4,t245_20200715-210618_21
t145_1594828203594_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,73955c0c-273e-4f00-92c2-ab32a4c1ef99,t245_20200715-210618_23
t145_1594828205195_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,d3512300-2044-45fa-9f22-3b821c1a4691,t245_20200715-210618_24
t145_1594828214523_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,41837c75-2ba8-4a88-ad5c-7c1557070757,t245_20200715-210618_26
t145_1594828213910_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,3bdf52d2-47e6-4f8a-adb4-cd961d7dfa42,t245_20200715-210618_25
t145_1594828214046_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,8106b2f2-eac4-49fc-98e7-79f8b51defc1,t245_20200715-210618_22
t145_1594828215243_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,2d1425ea-7afa-41ac-95fd-f3dcaff3487e,t245_20200715-210618_20
t145_1594828214489_19,ujxp-Hw2Q,38cd53b9-c6b2-11ea-af23-0242ac110002,bc916b0b-8683-4507-b74d-29ad38712481,t245_20200715-210618_19
t145_1594828211922_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,f07b3fd4-db09-4ed3-83cc-4c377879cebd,t245_20200715-210618_27
t145_1594828215705_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,824200f4-1986-4f78-87ea-beb67d705e3c,t245_20200715-210618_21
t145_1594828216792_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,671d8a65-6c6e-4cd8-8900-fa2ded5c9592,t245_20200715-210618_23
t145_1594828219088_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,c6599edc-db43-48cc-ba97-0be6b07abcf6,t245_20200715-210618_24
t145_1594828224786_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,3bf687af-652a-4317-8df1-6a7cde7af101,t245_20200715-210618_26
t145_1594828225534_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,e4ad9f30-f62a-4d37-be1b-09cfe709d841,t245_20200715-210618_25
t145_1594828226229_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,58527e80-3cc4-4f37-99a4-e9f294c9a96d,t245_20200715-210618_20
t145_1594828228511_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,040c76ed-bde9-4bf6-9a47-e3eae06ffac0,t245_20200715-210618_27
t145_1594828225959_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,eddb6da5-6156-4c5a-a7a4-cf03e0e7456f,t245_20200715-210618_22
t145_1594828228883_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,97a5daa6-87b1-4b29-b122-f5c592dfd62b,t245_20200715-210618_21
t145_1594828227073_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,03911b50-6a06-4970-92b2-eb4ce7ef8c64,t245_20200715-210618_28
t145_1594828235349_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,fcf72cbb-bfdd-433d-88b2-c5be99acde16,t245_20200715-210618_26
t145_1594828232375_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,e0f1dac8-6ee3-40b9-853f-fb358bb2efed,t245_20200715-210618_23
t145_1594828232642_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,41fa837d-14a7-4b1c-accd-7968a3d37efa,t245_20200715-210618_24
t145_1594828240562_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,848e3a6d-8e16-4a5f-b9cb-f22e341b64be,t245_20200715-210618_27
t145_1594828239719_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,57fa1552-2bdc-47f0-b16a-62e82f178b25,t245_20200715-210618_25
t145_1594828239886_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,794e2772-d805-4daf-86e5-5dee69226097,t245_20200715-210618_20
t145_1594828243420_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,39800821-581d-4619-8710-5164c13bad25,t245_20200715-210618_22
t145_1594828248092_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,40c21c56-3946-4026-a8b8-1d6a4bf43767,t245_20200715-210618_26
t145_1594828245180_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,4c510880-ffd9-4c38-9e48-9a4ec84a9f21,t245_20200715-210618_28
t145_1594828244666_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,0aada0bc-79d9-4080-80fc-7138dd0794ab,t245_20200715-210618_21
t145_1594828248854_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,b99d509c-7e53-4503-8135-dde2c4ff8c63,t245_20200715-210618_23
t145_1594828254309_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,40dff278-c6bd-4daf-9c2c-cc4043be4cf0,t245_20200715-210618_27
t145_1594828250380_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,7a8497fc-a527-416e-af88-c925ff214136,t245_20200715-210618_24
t145_1594828255483_20,2xce-H7oM,4ec1238a-c6b2-11ea-af23-0242ac110002,1646964e-d2ed-49a8-8edb-98bcb69aa663,t245_20200715-210618_20
t145_1594828254569_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,1e8d1a81-308e-492a-8bfa-06594d4d5c49,t245_20200715-210618_25
t145_1594828260313_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,c1e7c396-38e6-4a18-ac77-34c232e7dad3,t245_20200715-210618_28
t145_1594828259714_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,12bc285a-4785-4075-aec6-f90d530fe146,t245_20200715-210618_29
t145_1594828259033_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,cc9453cd-050a-4248-b083-2cb87decef03,t245_20200715-210618_26
t145_1594828258251_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,f2aa272b-940d-4d7f-88db-cb67bc9b0806,t245_20200715-210618_22
t145_1594828268772_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,80c94ed7-81fa-498d-8a83-7e0ae42e3050,t245_20200715-210618_25
t145_1594828262381_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,2ac7682a-9433-429e-a075-5840b01fcef9,t245_20200715-210618_21
t145_1594828265036_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,82702551-1fdf-4fd9-947b-e5d5a1c031f2,t245_20200715-210618_27
t145_1594828263218_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,a0b8e2dd-d116-49bf-9de6-75e137b7f01a,t245_20200715-210618_23
t145_1594828268138_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,8c9df9f8-77d1-4e85-8e35-fc3e3970c4ab,t245_20200715-210618_24
t145_1594828270584_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,13b173d5-b4eb-4558-9f83-16d073cbf07d,t245_20200715-210618_28
t145_1594828273033_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,61794c85-4430-4afb-bd76-5192ec2c9007,t245_20200715-210618_29
t145_1594828276143_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,951a8d64-1440-4485-a647-2c37d81c320b,t245_20200715-210618_22
t145_1594828280021_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,74872062-5812-4f8a-85a9-5b025578fdd5,t245_20200715-210618_21
t145_1594828275950_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,f798ec8f-811b-4d0b-a925-d2f27e97f94e,t245_20200715-210618_26
t145_1594828280322_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,611e252c-af72-4432-8764-5db47da94f37,t245_20200715-210618_27
t145_1594828281238_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,ddbc48ef-a3b3-4591-bcf9-afd12ab512bc,t245_20200715-210618_23
t145_1594828283823_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,4c729f44-db22-42d4-b7e7-16e28b4c9ff9,t245_20200715-210618_28
t145_1594828279359_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,02895d85-9ef7-459a-bf1c-3e42ec42d9bb,t245_20200715-210618_25
t145_1594828288343_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,a11a0856-272b-45c4-8479-55140bd9a05a,t245_20200715-210618_29
t145_1594828289288_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,0424a0d0-2fe1-4d92-a882-8e0ab45b044c,t245_20200715-210618_22
t145_1594828283224_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,88b00348-d3f5-4ff9-bdb7-abe6ebdd6d2e,t245_20200715-210618_24
t145_1594828289824_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,eb6f98cc-6bbb-4ec8-90fb-89b4cdf21d6c,t245_20200715-210618_30
t145_1594828290798_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,0bbd91f8-b6f4-4046-935a-bd35c027fe03,t245_20200715-210618_27
t145_1594828290301_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,ff5dab31-af88-41c9-841e-b9d91b99778f,t245_20200715-210618_26
t145_1594828295031_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,7614721f-81f4-4284-b07b-4327061b3ee2,t245_20200715-210618_28
t145_1594828290223_21,mJ6n-Jw2B,5dff1dbc-c6b2-11ea-96b3-0242ac110002,5731b098-38fa-4a78-acbe-1e55be6521a1,t245_20200715-210618_21
t145_1594828296957_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,3e685645-8908-403f-98fc-1b317482927a,t245_20200715-210618_25
t145_1594828294116_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,bd6d5716-13b0-448c-ba6b-b2af73e4d49a,t245_20200715-210618_23
t145_1594828299573_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,8086a173-5969-42ef-acc5-90de49ec4a2f,t245_20200715-210618_24
t145_1594828299532_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,da6e2e14-d5b0-4c2f-925a-8ece3c0d6076,t245_20200715-210618_22
t145_1594828298632_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,3434cfc2-5584-4017-b1bc-5295e18974aa,t245_20200715-210618_29
t145_1594828302969_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,aba64a92-407e-4455-8b3b-6e2991e1ba0d,t245_20200715-210618_27
t145_1594828302738_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,d0917dbc-f28f-4ee7-9172-da3249d36d2e,t245_20200715-210618_30
t145_1594828309983_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,56078de1-cb67-4b87-913b-218bd45f8884,t245_20200715-210618_24
t145_1594828306137_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,c45a1bb6-db73-41a9-9186-44da6d315562,t245_20200715-210618_26
t145_1594828307197_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,b4934cf9-2577-46b2-86a3-af2ea531a510,t245_20200715-210618_28
t145_1594828308720_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,0a64037a-bcb0-48ef-9385-600e552bc7fd,t245_20200715-210618_25
t145_1594828310560_22,c67T-Bw6o,7132bc44-c6b2-11ea-acee-0242ac110002,9e75df12-1535-40ba-afe0-f4d8b33ae732,t245_20200715-210618_22
t145_1594828309407_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,4ffe0d35-da46-4262-bf7a-b63625c3b153,t245_20200715-210618_23
t145_1594828311717_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,f3ff0913-7b16-4fe6-b028-9ff7f9b8f0c2,t245_20200715-210618_29
t145_1594828318388_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,c9e672e5-4180-424f-8498-d146c0ae56dd,t245_20200715-210618_27
t145_1594828320235_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,5212b874-2e3b-46fe-a578-eef823d36551,t245_20200715-210618_30
t145_1594828316995_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,b2c01475-8b6a-422c-a8ea-6fbe88da6724,t245_20200715-210618_31
t145_1594828321414_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,1ee2df5d-1708-4cd5-a1e5-6ea6e764fb55,t245_20200715-210618_26
t145_1594828320858_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,d9dfd766-7958-4013-9550-477bb675e3fc,t245_20200715-210618_24
t145_1594828323493_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,0972bfaa-7222-4591-a04d-bd2bba337d17,t245_20200715-210618_28
t145_1594828324277_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,2167897d-d275-4b99-990c-6e7264093636,t245_20200715-210618_23
t145_1594828323640_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,d2dca8e0-6540-4cfd-b8e2-98e008924cb2,t245_20200715-210618_25
t145_1594828329831_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,e9d8f31c-ce1a-4dc7-912b-02bfdecef23b,t245_20200715-210618_27
t145_1594828331814_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,63c05d20-7439-40a7-a3d9-cfeabe186309,t245_20200715-210618_31
t145_1594828329583_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,d5c392c3-753c-4670-be70-444906549ce7,t245_20200715-210618_29
t145_1594828331253_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,57701ad3-2b9b-4489-b13a-cb67a4fc0dee,t245_20200715-210618_30
t145_1594828334825_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,76592031-cab5-419a-8a46-ef7b3ce0dee4,t245_20200715-210618_24
t145_1594828336385_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,be5e8948-1f6e-4193-aeee-df6ff61e1269,t245_20200715-210618_28
t145_1594828331978_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,10df5451-9675-4225-a8b6-e4ec2c6dcdcc,t245_20200715-210618_26
t145_1594828339541_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,d25e9905-ad13-4b04-a94e-115a3b38c913,t245_20200715-210618_23
t145_1594828340778_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,b6dd5dde-b76e-47e6-b092-b4ded4baf712,t245_20200715-210618_27
t145_1594828344676_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,317043c5-3f28-45a2-ba81-9367d67fa54e,t245_20200715-210618_31
t145_1594828339993_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,8f12cc10-661f-48c8-b3a7-8e09d3942407,t245_20200715-210618_25
t145_1594828344100_32,W2R8-uX29,21aa0e75-c6b3-11ea-acee-0242ac110002,380a0bd4-d48d-445e-8f0e-61135861629f,t245_20200715-210618_32
t145_1594828346002_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,d7859f89-f594-4713-87cc-f5e183fbb470,t245_20200715-210618_30
t145_1594828345362_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,b86f30b0-cd57-4859-85ff-f5c2301e1689,t245_20200715-210618_29
t145_1594828349872_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,008cb51f-ecbe-4192-b1a8-f1ef1e070787,t245_20200715-210618_26
t145_1594828347647_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,79fb3b39-0a3d-46c0-ad09-fe86caf4f5ef,t245_20200715-210618_24
t145_1594828347973_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,a8152806-bbad-45e1-b2d9-f718b77fd507,t245_20200715-210618_28
t145_1594828356071_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,710b9ec6-570b-449d-b75b-ce166e5c1b7f,t245_20200715-210618_31
t145_1594828353675_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,51c01637-92e1-4da2-884c-90fa9fb8e3b4,t245_20200715-210618_23
t145_1594828357894_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,467e3612-18af-453d-9ae4-dd0750207987,t245_20200715-210618_25
t145_1594828359114_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,9800e9e1-3e68-4392-9c92-2da4bc72e4b1,t245_20200715-210618_29
t145_1594828358226_32,W2R8-uX29,21aa0e75-c6b3-11ea-acee-0242ac110002,3833d526-a490-4dde-a151-e70fff608dea,t245_20200715-210618_32
t145_1594828354535_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,a35cbaf0-00a7-4219-bbe2-f15379cdea91,t245_20200715-210618_27
t145_1594828358559_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,5f3ec4ab-ad46-45f4-9fbd-1cd6d3fc45e9,t245_20200715-210618_30
t145_1594828361037_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,244d23fb-fe18-4c0f-97be-f64e46f722da,t245_20200715-210618_26
t145_1594828363007_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,ad438f91-3019-47e9-84fc-5f5fbedf59bb,t245_20200715-210618_24
t145_1594828367492_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,8238bded-ec39-4672-8f07-c18f806b1671,t245_20200715-210618_31
t145_1594828367839_23,DMGy-HLoB,8288c073-c6b2-11ea-af23-0242ac110002,78f202b4-c421-4e09-9553-7885b6782473,t245_20200715-210618_23
t145_1594828369314_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,f7067391-186b-4fb2-a64e-9da7088f3193,t245_20200715-210618_25
t145_1594828366151_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,c695e9da-c89f-4ce5-b9a9-735cdd2bd1c9,t245_20200715-210618_28
t145_1594828370235_32,W2R8-uX29,21aa0e75-c6b3-11ea-acee-0242ac110002,810c9094-85e2-496e-8829-8db3face7ebb,t245_20200715-210618_32
t145_1594828371267_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,bca7ade9-8527-416f-9e54-f3dc6d1da657,t245_20200715-210618_30
t145_1594828371266_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,eed906d0-4881-4ae9-a12b-7aaec4a4244b,t245_20200715-210618_27
t145_1594828369584_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,32e91a35-1fcd-427c-aad2-86ca24f513e6,t245_20200715-210618_29
t145_1594828375526_24,gMy3-27AR,933a2105-c6b2-11ea-96b3-0242ac110002,38d07547-04aa-49a2-ba69-5db59e1a4e76,t245_20200715-210618_24
t145_1594828377929_31,bsYZ-2Mgn,11d85fe5-c6b3-11ea-af23-0242ac110002,1f6cd9c9-5ddc-413a-a679-64a6001d5bab,t245_20200715-210618_31
t145_1594828375245_26,Dkad-Kh2p,ba6e9975-c6b2-11ea-89f8-0242ac110002,6ff2eaee-befe-44ea-840d-f6976a94e541,t245_20200715-210618_26
t145_1594828384749_30,ibEx-723h,01a2bfd1-c6b3-11ea-89f8-0242ac110002,4c01e9b2-bdf2-4ffa-ab26-c994ac7797e5,t245_20200715-210618_30
t145_1594828379477_33,utzJ-86rg,36332abe-c6b3-11ea-96b3-0242ac110002,dcf9abe8-955d-44e0-986f-6a5c57580175,t245_20200715-210618_33
t145_1594828381643_25,97rU-797J,a4b31797-c6b2-11ea-96b3-0242ac110002,63bf3f69-d8d3-4256-957d-b918044b16b1,t245_20200715-210618_25
t145_1594828386613_27,34XL-p4p7,ca0e3af8-c6b2-11ea-89f8-0242ac110002,c956020c-e646-4637-ad4d-e2fc34336722,t245_20200715-210618_27
t145_1594828386727_29,TbrF-nRrU,ee9916c1-c6b2-11ea-acee-0242ac110002,44be8a16-a65e-472e-a398-4dbb8a7fdd6f,t245_20200715-210618_29
t145_1594828381912_28,o6oy-9F9Q,dcfba991-c6b2-11ea-89f8-0242ac110002,c0ab99e1-40ac-4a84-a9bf-90c8ccdb4c0d,t245_20200715-210618_28
t145_1594828381936_32,W2R8-uX29,21aa0e75-c6b3-11ea-acee-0242ac110002,041dddb6-1751-426f-8454-2b03909f4769,t245_20200715-210618_32
