teacvherextuserid,classcode,classid,invitationid,tch
t144_1594825418894_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,06200922-8660-4394-8b29-9521691440e9,t244_20200715-202501_13
t144_1594825420898_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,560c748f-9fae-45af-a161-c0a7b6e5ac99,t244_20200715-202501_10
t144_1594825421296_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,06f93df8-ada3-4ada-9884-f306ec354cef,t244_20200715-202501_7
t144_1594825423156_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,6926905a-4f8b-4489-bf74-370c06ea5f1c,t244_20200715-202501_17
t144_1594825422795_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,86519328-52d8-472c-8613-d9406c696f34,t244_20200715-202501_8
t144_1594825419115_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,428f7f61-2b8b-44e8-a8f9-2ab9e5ead9cf,t244_20200715-202501_9
t144_1594825427857_3,79kW-9fL8,576cda16-c6ab-11ea-af23-0242ac110002,1032a886-9eab-426c-bac4-b592832fc90e,t244_20200715-202501_3
t144_1594825428140_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,75d210aa-ae8b-4107-bf0d-c230c39aa59c,t244_20200715-202501_14
t144_1594825423681_2,6y2u-hRJ4,483c2644-c6ab-11ea-89f8-0242ac110002,b9861e8f-44f5-493c-9de1-b99099a13af9,t244_20200715-202501_2
t144_1594825429603_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,cf283037-df91-4c62-901c-cba6779ba069,t244_20200715-202501_11
t144_1594825431541_4,2QY6-otL9,6975dab3-c6ab-11ea-acee-0242ac110002,3c256004-a0ec-4fa3-9e4d-e2df822c45d8,t244_20200715-202501_4
t144_1594825448772_3,79kW-9fL8,576cda16-c6ab-11ea-af23-0242ac110002,16a215a5-452e-4c8f-afe5-b9b7b2c5a104,t244_20200715-202501_3
t144_1594825454339_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,1ee13538-afcb-465f-8dd5-1aa8174e2de0,t244_20200715-202501_11
t144_1594825457578_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,26b10d93-1f8d-47ae-830a-0425c13c5b0e,t244_20200715-202501_18
t144_1594825455187_4,2QY6-otL9,6975dab3-c6ab-11ea-acee-0242ac110002,4ab0d66e-2b08-4a23-9c38-0d9bdaf56f0f,t244_20200715-202501_4
t144_1594825459046_5,r389-29u4,7d395d77-c6ab-11ea-89f8-0242ac110002,184ada44-793c-483e-ab74-4f59dbfb761c,t244_20200715-202501_5
t144_1594825456531_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,411ec571-f5f7-4a4d-9adc-61d49ad3319b,t244_20200715-202501_15
t144_1594825461067_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,f75c15ed-3847-455b-8ee4-3156c658e8af,t244_20200715-202501_16
t144_1594825463926_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,19971e66-3891-4523-b179-9a392c2f61cf,t244_20200715-202501_12
t144_1594825459486_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,b294f3bf-4a27-419a-94e8-b19e9d8560ff,t244_20200715-202501_6
t144_1594825466988_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,12f0ebc2-da1a-4cd1-a337-a27bc2397e21,t244_20200715-202501_9
t144_1594825468832_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,f2cdd5d4-0b36-43f0-89b2-be9f221fb531,t244_20200715-202501_8
t144_1594825462404_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,4acaab97-cd3a-4c83-8f3d-b33b5229f189,t244_20200715-202501_13
t144_1594825470481_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,fc5cd08b-ee21-493a-8b8c-e8388b53feb1,t244_20200715-202501_10
t144_1594825464984_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,f5d14793-d334-4c6a-a277-5e77343730b0,t244_20200715-202501_17
t144_1594825470228_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,6bed6882-5190-4cdf-8205-da648a11673c,t244_20200715-202501_14
t144_1594825469942_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,cc20f50e-291f-4b79-86ef-28a6f6efcf44,t244_20200715-202501_7
t144_1594825477835_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,b52b2efa-27bb-4a39-a789-0f14efd58766,t244_20200715-202501_11
t144_1594825481682_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,1767c1fb-ba7e-4a68-8cd1-875a38d929fe,t244_20200715-202501_18
t144_1594825481968_4,2QY6-otL9,6975dab3-c6ab-11ea-acee-0242ac110002,108c166a-bb1e-43e0-88d1-dbcd75898dfd,t244_20200715-202501_4
t144_1594825484143_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,6ccd0dd5-8e63-4480-a100-cd554d0ec57e,t244_20200715-202501_15
t144_1594825486477_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,4f6fff16-6869-4d0f-b341-44d4620465a4,t244_20200715-202501_6
t144_1594825487444_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,592784ff-6f62-41c8-acfc-5e18104350b2,t244_20200715-202501_8
t144_1594825488562_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,e83cda5e-9fcf-478c-9099-bbd9083f86f8,t244_20200715-202501_13
t144_1594825483624_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,b2f03a4d-d127-413e-9752-1dca49a88307,t244_20200715-202501_19
t144_1594825482905_5,r389-29u4,7d395d77-c6ab-11ea-89f8-0242ac110002,740fcc19-0f80-4e75-9f2d-726fd3cae860,t244_20200715-202501_5
t144_1594825484574_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,8e389da1-4ffa-4af0-8fb3-80822df2d42f,t244_20200715-202501_16
t144_1594825486130_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,073d6f00-fa9b-4945-83ea-d01816a5cc14,t244_20200715-202501_12
t144_1594825487031_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,7bf8781a-02bf-4655-a4b2-24645ba605b0,t244_20200715-202501_9
t144_1594825491358_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,3fa9d038-3891-4e6d-a16a-3047f1d38922,t244_20200715-202501_17
t144_1594825491015_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,f487ec8a-d5e8-4b1b-b605-41b369cb00b4,t244_20200715-202501_10
t144_1594825494045_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,a5b4c7dd-9d13-471b-9e72-1d25dc6e8fda,t244_20200715-202501_7
t144_1594825491610_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,3b3afb7b-3450-4e55-861b-1fb3f5a1b86c,t244_20200715-202501_14
t144_1594825497514_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,446aa53b-c7aa-4f2e-8533-996b33d73cc2,t244_20200715-202501_11
t144_1594825506839_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,d927f081-451e-497b-9eca-8226b1a4bf1a,t244_20200715-202501_13
t144_1594825503719_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,db219fa3-982e-441b-ba12-21de0525f92b,t244_20200715-202501_18
t144_1594825506065_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,e7629bd9-cf1c-4abc-b52c-8a0c78eaf0ce,t244_20200715-202501_8
t144_1594825505703_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,8476ec62-72ec-4a8e-ae51-4d48001c7c59,t244_20200715-202501_15
t144_1594825507415_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,9d8f7822-9085-4506-8b59-a5b30c7694aa,t244_20200715-202501_19
t144_1594825505983_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,1cbda33b-bda4-4e53-8cb1-abb4b16dba6e,t244_20200715-202501_6
t144_1594825508903_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,85e5c845-4e8c-4667-9792-a382d5fbd84c,t244_20200715-202501_9
t144_1594825511863_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,7b378e71-cfee-426e-82ea-c6b54b33c31c,t244_20200715-202501_10
t144_1594825508406_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,390cfb6d-dcde-466a-8d63-dc949feea1b9,t244_20200715-202501_12
t144_1594825507745_5,r389-29u4,7d395d77-c6ab-11ea-89f8-0242ac110002,dc29c412-fc94-4e5b-85b7-ebce15bd50b6,t244_20200715-202501_5
t144_1594825505436_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,03744768-e52b-4390-9e84-8efb7500de0e,t244_20200715-202501_20
t144_1594825511521_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,3fafb369-a0c6-40f8-bda1-485e84611ae5,t244_20200715-202501_17
t144_1594825508217_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,057c5326-dec1-4cef-b797-7808e7691cca,t244_20200715-202501_16
t144_1594825515735_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,63355635-715e-4cb4-9cbb-df0183185387,t244_20200715-202501_14
t144_1594825515695_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,a8ac4fb4-4857-499f-a7e2-9a2f53abfe00,t244_20200715-202501_7
t144_1594825517540_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,7fe0f32e-fda6-4061-a52c-b56e421fe310,t244_20200715-202501_11
t144_1594825527487_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,838b083a-431d-49b9-8588-80adba0fe945,t244_20200715-202501_18
t144_1594825526820_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,0f7d906e-e129-4f95-b404-ece85912e7ac,t244_20200715-202501_13
t144_1594825528838_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,8383f45f-1ca7-439a-8275-6819505ba2fd,t244_20200715-202501_15
t144_1594825528318_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,b711c379-1788-4394-88d5-354bf8f463d1,t244_20200715-202501_8
t144_1594825533244_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,fd2c46c8-44b2-465f-b17c-6283ff2e6243,t244_20200715-202501_10
t144_1594825530084_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,2f1579fa-a80b-40e5-9764-3c4104dfaf56,t244_20200715-202501_19
t144_1594825531942_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,c22c0f68-087a-41f9-995c-f53dcb568ff2,t244_20200715-202501_9
t144_1594825533871_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,3c6fed25-9505-416e-9660-04d2bd25ca33,t244_20200715-202501_17
t144_1594825533405_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,78885b9d-a3ec-4fb6-8adb-8c1a19339ba6,t244_20200715-202501_20
t144_1594825530636_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,6e2d33f4-a97e-4dd4-ba73-059bc3863a40,t244_20200715-202501_6
t144_1594825533268_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,7fe080b3-8a6c-4713-9383-33163421e4c5,t244_20200715-202501_12
t144_1594825534375_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,525e458f-639c-4558-884e-2a0fcb3640a2,t244_20200715-202501_16
t144_1594825541926_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,1fb1eb8f-ca89-410d-9aba-43c84c0e20b7,t244_20200715-202501_7
t144_1594825539994_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,9511380e-881d-438a-92e7-2d19db464b25,t244_20200715-202501_14
t144_1594825541747_21,2PWG-ZRxq,9b50f573-c6ac-11ea-acee-0242ac110002,04f61989-5b16-40df-9e4a-650d3e68fcc2,t244_20200715-202501_21
t144_1594825545968_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,a27b78d8-fbe3-411a-b361-11fcb0842d3c,t244_20200715-202501_18
t144_1594825543620_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,5cd5ebfd-215e-4e53-afe7-3ed829a046fb,t244_20200715-202501_11
t144_1594825551374_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,e35c9b95-8711-45d7-a43a-0f18c7e47e52,t244_20200715-202501_15
t144_1594825551345_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,4a38cb8d-170c-4b89-aa90-d451e14d28f9,t244_20200715-202501_13
t144_1594825556750_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,8ec35f6a-1961-45d5-ad10-6d751fbd56b8,t244_20200715-202501_12
t144_1594825553651_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,6d33e04e-8c6b-46d4-82a8-9375b7b2e01b,t244_20200715-202501_19
t144_1594825553356_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,efb29da2-9b5c-4b97-b052-34b509ac3326,t244_20200715-202501_10
t144_1594825556286_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,d5c8ab6a-a697-4cb9-aa66-8b71c64a9b4d,t244_20200715-202501_20
t144_1594825554193_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,6ead6f14-1271-400d-8113-1c4c0a228c40,t244_20200715-202501_17
t144_1594825551805_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,e30270d3-c8e8-4990-ad33-c02aa6a4b5cd,t244_20200715-202501_8
t144_1594825553849_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,fd85869f-46cd-4663-8ec6-70a00cb970b8,t244_20200715-202501_9
t144_1594825559120_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,48b495f4-bf04-45ca-8054-73fa98363225,t244_20200715-202501_16
t144_1594825556456_6,A3JK-Qa38,8e3338c4-c6ab-11ea-af23-0242ac110002,4cb7d7a9-fe1b-4e02-b252-c82f4868c2be,t244_20200715-202501_6
t144_1594825564970_21,2PWG-ZRxq,9b50f573-c6ac-11ea-acee-0242ac110002,3023609f-7b8f-4256-9674-228ebdd86c3e,t244_20200715-202501_21
t144_1594825563587_7,z9H3-wboL,a17a85e9-c6ab-11ea-af23-0242ac110002,103b17d1-19db-4757-960f-4615c47f25d2,t244_20200715-202501_7
t144_1594825568514_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,3d2bbfc4-f621-454f-a3f2-8e9070514094,t244_20200715-202501_18
t144_1594825570224_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,130b5275-4eb9-4a0a-9233-ab4eebfe150a,t244_20200715-202501_11
t144_1594825564402_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,0080d37c-e56a-4aea-9c0d-1dc930b0cb0c,t244_20200715-202501_14
t144_1594825574630_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,c5dc8334-f9c2-4015-bcdb-03d15ea2ec2b,t244_20200715-202501_13
t144_1594825576631_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,b0244b40-2a5b-4b0b-a884-ca55e745c72c,t244_20200715-202501_12
t144_1594825573030_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,6947f3ef-cb80-45e2-a97f-0f368e327617,t244_20200715-202501_15
t144_1594825577867_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,fad9b336-7cae-4ff7-b96b-dd134eef9790,t244_20200715-202501_20
t144_1594825571981_22,pJgo-C2s9,a9c6484c-c6ac-11ea-af23-0242ac110002,51f48711-14e9-4985-9401-fdf745a1562f,t244_20200715-202501_22
t144_1594825577974_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,6aee8e1d-ec98-473b-95cc-60390a056112,t244_20200715-202501_17
t144_1594825576710_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,9ba57294-594c-4ac8-a32f-b025f041baf0,t244_20200715-202501_10
t144_1594825576691_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,46fcc009-401b-46a8-a2d3-b7a80a299474,t244_20200715-202501_19
t144_1594825580719_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,1ebdf5c2-37ce-461f-9fd6-39de6d39b2ed,t244_20200715-202501_16
t144_1594825578058_8,4QFd-bnzf,b101be43-c6ab-11ea-89f8-0242ac110002,9335ba3a-2336-4266-9993-869c637d90dd,t244_20200715-202501_8
t144_1594825578823_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,d50e963d-01b8-4570-8f4e-602312078a4c,t244_20200715-202501_9
t144_1594825585037_21,2PWG-ZRxq,9b50f573-c6ac-11ea-acee-0242ac110002,a9200669-bc7d-4169-a594-57d0b269eea9,t244_20200715-202501_21
t144_1594825591493_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,784d85cd-55cb-4815-9fb6-78fd2f244dd4,t244_20200715-202501_11
t144_1594825589589_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,2050ca2a-9a92-4097-93bb-2ac4d4fc601a,t244_20200715-202501_18
t144_1594825591793_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,0e8f165c-1009-4ca5-b13e-f81a02c7f907,t244_20200715-202501_14
t144_1594825596328_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,63279e3a-0d1e-4158-bdeb-c41328318064,t244_20200715-202501_12
t144_1594825600019_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,592955b2-df59-4c5d-9d0d-13acaff79cbb,t244_20200715-202501_17
t144_1594825595218_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,c6f054a9-c5f6-45ad-89f0-9c862ed213a5,t244_20200715-202501_13
t144_1594825598660_22,pJgo-C2s9,a9c6484c-c6ac-11ea-af23-0242ac110002,53984834-aa1b-418a-8618-afc300fa5a6a,t244_20200715-202501_22
t144_1594825598126_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,d78cb931-b911-4f0f-81d1-0a1038de8707,t244_20200715-202501_20
t144_1594825596864_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,e9918eb2-655b-4179-9d3d-c64477b1e98b,t244_20200715-202501_15
t144_1594825601272_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,86a44413-a0d0-443e-955e-8a103547b0bc,t244_20200715-202501_19
t144_1594825603130_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,7b061093-47f3-48ef-a1ef-67538f7657e3,t244_20200715-202501_9
t144_1594825600428_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,bd65453e-dc6d-4831-9f79-0f40bb6ad4f3,t244_20200715-202501_10
t144_1594825601745_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,585b93f2-9c0e-4821-9ba9-bffe15883b81,t244_20200715-202501_16
t144_1594825610696_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,0c16058d-88ae-4576-9737-3c1b40042715,t244_20200715-202501_11
t144_1594825606948_23,g2DZ-P4Mr,bf1bb5a6-c6ac-11ea-af23-0242ac110002,b64814f9-b9a9-474c-8df2-66c431817ed7,t244_20200715-202501_23
t144_1594825606528_21,2PWG-ZRxq,9b50f573-c6ac-11ea-acee-0242ac110002,a8b86b91-3e42-4f44-a7b2-202b59e60eb7,t244_20200715-202501_21
t144_1594825612894_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,f267ab6d-7137-41a9-a937-b32ceba03294,t244_20200715-202501_18
t144_1594825618053_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,c5bee8be-f4a8-4125-b49c-e6794163662c,t244_20200715-202501_14
t144_1594825619991_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,6c182b7c-1528-4776-ac3b-92c46b11aef3,t244_20200715-202501_12
t144_1594825622670_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,6336157f-7ef2-4fba-95a6-953eb6036fd3,t244_20200715-202501_15
t144_1594825622469_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,c6d1da58-bfd5-4f8b-a861-1ea4449bf139,t244_20200715-202501_20
t144_1594825620199_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,11b74279-2064-4a3c-99d1-b07a3f821ee1,t244_20200715-202501_17
t144_1594825621134_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,4d8e9007-24c4-4680-9af6-e71ef83ed46c,t244_20200715-202501_13
t144_1594825622388_22,pJgo-C2s9,a9c6484c-c6ac-11ea-af23-0242ac110002,012e9144-2bb4-435e-9d0c-0cf012f0e20a,t244_20200715-202501_22
t144_1594825626773_24,Y2uD-A2W9,cd6f7628-c6ac-11ea-acee-0242ac110002,1fc0a903-88fe-492b-bf7d-740783afe90b,t244_20200715-202501_24
t144_1594825628035_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,b103633d-c4d4-4d3c-8df4-7d87f80c7190,t244_20200715-202501_10
t144_1594825624828_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,7b418e07-9dc2-47ab-b842-9b6dfc5947e5,t244_20200715-202501_19
t144_1594825633289_23,g2DZ-P4Mr,bf1bb5a6-c6ac-11ea-af23-0242ac110002,2396b9ad-22cb-409d-af76-b61d931efdd1,t244_20200715-202501_23
t144_1594825627813_9,6vW4-cGwh,c462871f-c6ab-11ea-89f8-0242ac110002,f0bf860a-9398-4793-b784-cd832a862a87,t244_20200715-202501_9
t144_1594825633762_21,2PWG-ZRxq,9b50f573-c6ac-11ea-acee-0242ac110002,6945d0eb-e7a4-40e5-8872-831170487fd1,t244_20200715-202501_21
t144_1594825632854_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,d17d85d0-ab02-4c4e-8e94-f877a282f3f3,t244_20200715-202501_11
t144_1594825635056_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,d07dbda2-0bcd-43a9-bbeb-d5ab55e318f0,t244_20200715-202501_18
t144_1594825628821_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,67311aa9-a547-4230-b47b-1eaa015540dd,t244_20200715-202501_16
t144_1594825643423_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,d50fffc1-ccbe-43fa-a419-cc861ac76bbd,t244_20200715-202501_12
t144_1594825639976_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,06cf075f-b2b7-45a6-a620-8db2e5a5de88,t244_20200715-202501_14
t144_1594825647507_22,pJgo-C2s9,a9c6484c-c6ac-11ea-af23-0242ac110002,489dfe2d-31db-4ddc-8928-858f5108d49e,t244_20200715-202501_22
t144_1594825645647_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,ced24981-97c9-4034-9171-f88d9e2f6588,t244_20200715-202501_20
t144_1594825648670_24,Y2uD-A2W9,cd6f7628-c6ac-11ea-acee-0242ac110002,59406035-dbb5-426c-be4d-fe9b0be1f6bc,t244_20200715-202501_24
t144_1594825649438_10,uh3X-jbJc,d32cd7d8-c6ab-11ea-89f8-0242ac110002,14beca41-9b40-468b-b41b-8d68f964356a,t244_20200715-202501_10
t144_1594825645919_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,4228d8b9-3f10-49be-935c-05b54b6a7491,t244_20200715-202501_17
t144_1594825645132_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,db808ca6-8e5d-4e4d-8e36-84d81d3d2b43,t244_20200715-202501_15
t144_1594825647156_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,6d7eb237-554f-44ca-8def-29c74a123186,t244_20200715-202501_13
t144_1594825651427_19,pyM3-Zg3Q,77826423-c6ac-11ea-96b3-0242ac110002,d9853327-da10-4bc1-8247-b6a3350ddce7,t244_20200715-202501_19
t144_1594825654667_18,gjWk-2K6R,66d7e213-c6ac-11ea-af23-0242ac110002,d18a8387-b008-4572-81ca-1d67bfd7f133,t244_20200715-202501_18
t144_1594825652534_23,g2DZ-P4Mr,bf1bb5a6-c6ac-11ea-af23-0242ac110002,8329eec4-65de-46cf-883d-e6d5a3fe4ba3,t244_20200715-202501_23
t144_1594825654754_16,2R6V-BmRf,3f40b07f-c6ac-11ea-96b3-0242ac110002,774fcbb7-fe29-40f2-b6ea-7eaca46f16f6,t244_20200715-202501_16
t144_1594825654178_21,2PWG-ZRxq,9b50f573-c6ac-11ea-acee-0242ac110002,cce3d436-71d2-4dc7-811b-31cd5a5fad91,t244_20200715-202501_21
t144_1594825654216_11,9j8a-vRVh,e7f064b3-c6ab-11ea-89f8-0242ac110002,3d8a1cea-c2f6-4a59-8dc3-8ce613f55c2b,t244_20200715-202501_11
t144_1594825659882_25,c2ZJ-K6ZW,df767c4c-c6ac-11ea-af23-0242ac110002,2a1ca675-efc2-40da-a03e-79669ae2143b,t244_20200715-202501_25
t144_1594825666119_14,daA7-Xpfw,1a523110-c6ac-11ea-af23-0242ac110002,bae2723c-55b5-4e77-97b3-4b316597d8e8,t244_20200715-202501_14
t144_1594825666899_22,pJgo-C2s9,a9c6484c-c6ac-11ea-af23-0242ac110002,257e7c12-6890-4968-8d6b-a233c15bbec9,t244_20200715-202501_22
t144_1594825666113_12,ybj4-qiHz,fa2e7fd1-c6ab-11ea-acee-0242ac110002,92b34974-d18d-4a91-8ac5-77a31677886a,t244_20200715-202501_12
t144_1594825667105_20,4Bsg-AUW7,857a97fe-c6ac-11ea-89f8-0242ac110002,1155f78e-8a7b-4354-8270-c6093c7d283c,t244_20200715-202501_20
t144_1594825668640_24,Y2uD-A2W9,cd6f7628-c6ac-11ea-acee-0242ac110002,7f503a64-ffec-48cb-b585-b1c8c4b6031c,t244_20200715-202501_24
t144_1594825669485_17,32fd-e3V4,5263fb6d-c6ac-11ea-af23-0242ac110002,a63846eb-f4fd-4795-bf92-0be3cf468464,t244_20200715-202501_17
t144_1594825672980_13,4942-wPL3,099166e4-c6ac-11ea-89f8-0242ac110002,7b1cb7b3-d395-4ea7-915e-5059aa72d971,t244_20200715-202501_13
t144_1594825670609_15,sc6p-B9Nn,2d9fe764-c6ac-11ea-96b3-0242ac110002,9c3a3f52-6c66-4158-a817-f5ccce74a3e9,t244_20200715-202501_15
